fuel_type,body_type,kilometer_runned,transmission_type,number_of_owners,manufacturer,model,model_year,price,registration_year,insurance_validity,seats,engine_displacement,mileage,max_power(bhp),City
4,1494416.76,32.52,1,1,7,62,2017,625000,2017,2,5,10.62,2.6,4.46,1
4,460293.0196,27.14,1,1,8,71,2022,690000,2022,5,5,10.62,2.75,4.34,1
4,1494416.76,21.54,1,1,12,98,2022,1350000,2022,5,5,9.99,2.63,4.91,1
4,460293.0196,36.09,0,1,29,248,2019,790000,2019,2,5,10.62,2.69,4.34,1
4,460293.0196,39.22,1,2,19,136,2014,270000,2014,2,5,9.99,2.88,4.06,1
1,460293.0196,43.28,1,1,8,70,2014,365000,2014,2,5,10.59,2.88,4.2,1
4,1045481.863,37.28,1,2,7,58,2010,425000,2010,2,5,12.16,2.38,5.07,1
4,460293.0196,32.01,1,2,8,70,2016,528000,2016,2,5,10.62,2.66,4.34,1
4,460293.0196,41.16,1,1,8,70,2016,511000,2016,2,5,10.62,2.66,4.34,1
4,1045481.863,37.8,1,2,7,56,2016,625000,2016,2,5,11.44,2.61,4.9,1
4,460293.0196,47.95,1,2,23,196,2016,327000,2016,2,5,10.62,2.69,4.06,1
4,1494416.76,31.67,1,1,16,117,2018,505000,2018,5,6,10.62,2.63,4.34,1
4,1494416.76,35.75,1,2,7,62,2018,640000,2018,2,5,10.62,2.6,4.46,1
4,460293.0196,40.55,1,1,19,140,2017,449000,2017,2,5,9.99,2.93,4.04,1
1,1045481.863,30,1,1,7,52,2019,725000,2019,2,5,11.44,2.91,4.62,1
4,460293.0196,33.32,1,1,26,207,2021,495000,2021,2,5,10,2.79,4.06,1
4,460293.0196,44.02,1,2,8,80,2011,271000,2011,2,5,10.62,2.73,4.29,1
1,1494416.76,39.15,1,2,8,66,2017,940000,2017,5,5,11.65,2.7,5.02,1
4,1045481.863,34.76,1,1,7,56,2017,799000,2017,2,5,11.44,2.59,4.9,1
1,1045481.863,29.24,0,1,20,171,2017,4500000,2017,2,5,12.49,2.53,5.77,1
1,1494416.76,27.14,1,1,28,225,2022,2050000,2022,5,5,12.51,2.54,5.51,1
4,460293.0196,40.33,1,1,8,73,2018,451000,2019,6,5,10.28,2.73,4.08,1
4,460293.0196,42.13,1,1,8,81,2016,631000,2016,2,5,10.62,2.65,4.34,1
4,1045481.863,46.78,1,2,29,244,2012,411000,2012,2,5,11.44,2.6,4.46,1
1,1045481.863,44.85,1,1,27,218,2015,500000,2015,2,5,11.44,2.77,4.7,1
4,1045481.863,39.66,1,1,19,157,2014,488000,2014,4,5,10.62,2.82,4.46,1
1,1045481.863,43.09,1,1,28,240,2015,460000,2015,5,5,10.77,2.84,4.2,1
4,460293.0196,29.33,0,2,19,140,2018,514000,2018,2,5,9.99,2.96,4.04,1
1,460293.0196,40.09,1,3,19,156,2014,508000,2015,4,5,10.77,2.93,4.2,1
1,1494416.76,37.33,1,1,28,233,2018,865000,2018,2,5,11.44,2.78,4.77,1
4,1045481.863,31.07,0,2,19,142,2018,855000,2019,2,5,11.35,2.73,4.69,1
1,1045481.863,24.1,0,1,20,181,2020,11800000,2021,2,5,12.68,2.38,5.84,1
1,1494416.76,36.49,1,1,8,77,2019,925000,2019,2,5,11.18,2.87,4.46,1
4,1045481.863,41.49,0,1,7,56,2012,510000,2012,2,5,11.44,2.56,4.88,1
1,1045481.863,31.07,0,1,20,171,2020,5700000,2020,2,5,12.49,2.53,5.77,1
4,460293.0196,42.26,1,1,19,160,2013,350000,2013,2,5,9.99,2.66,4.06,1
4,1045481.863,45.78,1,1,7,56,2017,630000,2017,5,5,11.44,2.61,4.9,1
4,460293.0196,35.99,1,1,19,160,2015,410000,2015,2,5,9.99,2.74,4.06,1
4,1045481.863,26.55,1,1,7,52,2015,466000,2015,2,5,10.62,2.62,4.43,1
4,1494416.76,17.75,0,1,12,97,2023,1864000,2023,2,5,11.06,2.55,5.17,1
4,460293.0196,27.53,1,1,19,140,2021,503000,2021,4,5,9.99,2.93,4.04,1
4,460293.0196,35.94,1,2,26,207,2018,309000,2018,4,5,9.38,2.93,3.76,1
4,1045481.863,50.35,0,1,7,56,2016,640000,2016,5,5,11.44,2.62,4.9,1
4,1494416.76,23.4,1,1,8,77,2021,841000,2021,4,5,10.62,2.6,4.34,1
1,1494416.76,29.62,1,1,28,232,2022,1890000,2022,4,7,12.51,2.53,5.51,1
4,460293.0196,35.79,1,1,8,80,2011,288000,2011,2,5,10.62,2.73,4.29,1
4,1494416.76,33.13,1,1,8,77,2021,940000,2021,2,5,9.99,2.62,4.91,1
4,460293.0196,32.71,0,1,30,258,2018,845000,2018,2,5,10.62,2.58,4.7,1
1,1494416.76,25.74,0,1,28,232,2021,2056000,2021,2,7,12.51,2.41,5.51,1
1,1494416.76,33.32,0,1,1,19,2019,7700000,2019,2,5,12.68,2.37,5.84,1
4,460293.0196,36.38,1,2,19,160,2016,400000,2016,2,5,9.99,2.74,4.06,1
4,1045481.863,34.2,1,3,19,157,2013,425000,2013,5,5,10.62,2.67,4.41,1
1,1045481.863,53.13,1,2,28,229,2008,200000,2008,5,5,11.2,2.57,4.12,1
4,460293.0196,27.14,1,1,30,258,2020,750000,2020,5,5,10,2.61,4.22,1
1,1494416.76,36.09,0,1,8,66,2019,1690000,2020,2,5,11.65,2.6,5.02,1
4,460293.0196,48.3,1,1,8,80,2013,310000,2013,2,5,10.62,2.73,4.29,1
1,1494416.76,37.56,0,1,29,247,2020,3900000,2020,2,7,12.68,2.47,5.59,1
4,460293.0196,40.39,0,2,19,140,2016,437000,2016,2,5,9.99,2.99,4.04,1
4,1494416.76,25,0,1,16,128,2022,1026000,2022,2,5,10.62,2.57,4.77,1
1,460293.0196,47.56,1,1,19,156,2015,560000,2015,5,5,10.77,2.93,4.2,1
4,460293.0196,28.78,1,1,19,149,2017,532000,2017,2,5,10.62,2.75,4.34,1
4,460293.0196,30.71,1,1,19,136,2015,323000,2015,4,5,9.99,2.9,4.04,1
4,1494416.76,31.33,1,1,7,62,2018,770000,2018,5,5,10.62,2.6,4.46,1
4,460293.0196,21.8,1,1,19,153,2022,492000,2022,2,5,9.99,2.79,4.04,1
4,1045481.863,42.28,1,1,7,56,2016,633000,2017,2,5,11.44,2.61,4.9,1
4,1494416.76,39.35,1,2,8,66,2018,982000,2018,5,5,11.67,2.51,4.95,1
1,1494416.76,42.73,0,2,1,19,2009,1350000,2009,2,5,12.68,2.27,5.84,1
1,1045481.863,52.32,1,1,7,52,2014,370000,2014,2,5,11.44,2.95,4.62,1
4,1045481.863,48.69,1,1,19,142,2017,620000,2017,2,5,11.11,2.75,4.5,1
4,460293.0196,35.03,1,1,19,149,2018,480000,2018,5,5,10.62,2.75,4.34,1
4,460293.0196,39.86,1,1,7,54,2015,430000,2016,5,5,10.62,2.64,4.43,1
1,460293.0196,53.13,1,1,19,156,2015,500000,2015,5,5,10.77,2.93,4.2,1
1,1045481.863,37.56,0,1,1,15,2019,7600000,2019,2,5,12.68,2.54,5.84,1
4,460293.0196,34.02,1,1,19,137,2019,790000,2019,5,5,10.62,2.76,4.34,1
1,1045481.863,34.76,0,1,1,14,2018,5200000,2018,2,4,12.68,2.58,5.84,1
4,1042342.282,30.81,0,1,26,212,2021,776000,2021,2,7,10,2.63,4.14,1
4,460293.0196,39.54,0,1,19,137,2017,702000,2017,2,5,10.62,2.78,4.36,1
4,460293.0196,43.78,1,1,19,136,2014,290000,2014,2,5,9.99,2.88,4.06,1
4,460293.0196,32.17,1,1,19,140,2014,383000,2014,5,5,9.99,2.93,4.04,1
4,460293.0196,32.27,1,1,19,140,2015,411000,2016,2,5,9.99,2.93,4.04,1
1,1045481.863,45.72,1,1,19,142,2014,615000,2014,2,5,10.77,2.97,4.46,1
4,460293.0196,27.57,1,1,28,237,2018,515000,2019,2,5,10.62,2.88,4.38,1
1,1045481.863,40.41,0,1,1,10,2016,2575000,2016,2,5,12.59,2.73,5.73,1
4,460293.0196,43.99,1,2,8,81,2015,507000,2015,5,5,10.62,2.65,4.34,1
4,460293.0196,35.44,1,2,8,67,2016,322000,2016,4,5,9.38,2.76,3.81,1
4,460293.0196,37.8,1,1,19,137,2017,575000,2017,2,5,10.62,2.78,4.36,1
4,460293.0196,27.16,1,1,19,137,2020,850000,2020,2,5,10.62,2.76,4.34,1
1,1045481.863,35.3,0,1,0,3,2019,3700000,2019,2,5,12.53,2.65,5.73,1
1,1494416.76,38.71,0,1,0,5,2014,1800000,2014,2,5,12.53,2.51,5.59,1
1,1045481.863,40.8,1,1,7,52,2013,425000,2013,2,5,11.44,2.95,4.62,1
4,460293.0196,39.71,1,1,19,137,2017,650000,2017,5,5,10.62,2.76,4.34,1
1,1042342.282,49.32,1,1,29,250,2009,750000,2009,5,7,12.68,2.34,4.67,1
1,1045481.863,47.29,1,1,7,52,2014,450000,2014,2,5,11.44,2.95,4.62,1
4,1045481.863,40.96,1,1,19,142,2017,720000,2017,5,5,11.11,2.75,4.5,1
4,460293.0196,40.62,0,1,19,140,2014,425000,2014,2,5,9.99,2.85,4.06,1
4,460293.0196,47.95,1,2,8,80,2010,235000,2010,2,5,10.62,2.73,4.29,1
4,460293.0196,40.34,0,2,19,140,2016,437000,2016,2,5,9.99,2.85,4.06,1
4,460293.0196,47.34,1,1,30,258,2014,410000,2014,5,5,10.62,2.54,4.2,1
4,460293.0196,18.19,1,1,19,149,2022,731000,2022,2,5,10.62,2.75,4.34,1
4,460293.0196,33.91,1,2,28,237,2018,502000,2018,2,5,10.62,2.88,4.38,1
1,1042342.282,47.18,1,1,29,251,2018,2050000,2018,2,7,12.68,2.39,5.28,1
1,1494416.76,19.84,0,1,28,232,2022,1963000,2022,2,7,12.51,2.41,5.51,1
4,460293.0196,38.87,1,2,19,136,2011,222000,2011,2,5,9.99,2.76,4.06,1
1,1494416.76,32.7,1,1,28,225,2019,1497000,2019,2,5,12.51,2.57,5.17,1
1,1494416.76,47.38,1,2,6,45,2015,529000,2015,2,5,11.44,2.83,4.48,1
4,460293.0196,54.52,1,2,19,152,2010,210000,2010,2,5,10.62,2.64,4.41,1
4,1494416.76,29.62,1,1,29,252,2021,975000,2021,2,5,11.35,2.57,4.69,1
4,460293.0196,38.49,1,1,19,156,2020,595000,2020,2,5,10.62,2.77,4.34,1
4,1494416.76,36.59,1,1,8,66,2017,767000,2017,5,5,11.67,2.48,4.95,1
4,460293.0196,31.07,1,1,8,81,2022,825000,2022,2,5,10.62,2.76,4.34,1
4,460293.0196,37.62,0,1,7,59,2015,558000,2015,2,5,10.62,2.67,4.46,1
4,460293.0196,20.68,1,1,28,237,2022,649000,2022,4,5,10.62,2.67,4.39,1
1,1494416.76,14.96,0,1,28,225,2022,2250000,2022,2,5,12.51,2.44,5.51,1
4,1045481.863,32.59,1,1,27,218,2021,1110000,2021,4,5,10,2.67,4.77,1
4,460293.0196,20.47,1,1,19,149,2022,672000,2022,4,5,10.62,2.75,4.34,1
4,1042342.282,25.71,1,1,26,212,2022,675000,2022,2,7,10,2.71,4.14,1
4,1045481.863,34.21,1,1,7,56,2017,795000,2017,5,5,11.44,2.61,4.9,1
4,460293.0196,36.07,1,2,8,81,2017,587000,2017,2,5,10.62,2.65,4.34,1
4,460293.0196,31.34,0,1,7,59,2019,807000,2019,2,5,10.62,2.63,4.46,1
1,460293.0196,41.98,1,1,6,49,2012,260000,2012,2,5,11.18,2.71,4.08,1
1,1045481.863,31.41,1,1,19,157,2017,760000,2017,2,5,10.77,3.05,4.2,1
1,1494416.76,27.14,1,1,16,114,2022,1070000,2022,5,7,11.43,2.52,4.22,1
4,460293.0196,27.14,1,2,19,137,2020,650000,2020,5,5,10.62,2.76,4.34,1
4,460293.0196,31.46,0,1,19,153,2020,520000,2020,5,5,9.99,2.79,4.06,1
1,1045481.863,44.81,1,1,19,157,2011,350000,2011,5,5,10.77,2.68,4.2,1
4,1494416.76,42.54,1,1,8,66,2015,875000,2015,2,5,11.67,2.51,4.95,1
1,1045481.863,25.2,0,1,1,11,2019,4350000,2019,2,5,12.59,2.79,5.73,1
1,1494416.76,28.44,0,1,16,129,2018,1450000,2018,2,7,12.68,2.52,5.19,1
4,1494416.76,20.8,1,1,16,126,2022,1725000,2022,2,4,12.59,2.48,5.31,1
4,460293.0196,30.63,1,1,4,35,2018,302000,2018,5,5,9.38,2.83,3.77,1
1,1045481.863,39.54,0,1,8,78,2018,1060000,2018,6,5,11.65,2.8,5.02,1
1,1042342.282,53.13,1,2,29,250,2007,600000,2007,5,8,12.68,2.34,4.67,1
4,1045481.863,39.24,1,1,28,239,2022,722000,2022,2,5,10.62,2.68,4.39,1
4,460293.0196,37.63,1,1,19,141,2018,463000,2018,2,5,9.99,2.79,4.06,1
4,1045481.863,33.55,1,2,7,52,2019,627000,2019,5,5,10.62,2.69,4.46,1
4,460293.0196,37.8,1,1,19,137,2017,575000,2017,5,5,10.62,2.78,4.36,1
4,1494416.76,44.13,1,2,28,233,2018,658000,2018,5,5,10.62,2.57,4.77,1
4,460293.0196,44.7,0,1,19,141,2018,477000,2018,2,5,9.99,2.79,4.06,1
4,460293.0196,34.2,1,2,28,237,2019,500000,2019,5,5,10.62,2.88,4.38,1
4,460293.0196,25.71,1,1,19,156,2017,650000,2017,2,5,10.62,2.77,4.34,1
4,460293.0196,43.78,1,1,19,149,2017,455000,2017,2,5,10.62,2.75,4.34,1
1,460293.0196,53.13,1,1,8,82,2015,475000,2015,5,5,11.18,2.77,4.46,1
1,1042342.282,33.91,0,1,29,251,2021,2800000,2021,2,7,12.68,2.29,5.29,1
4,1045481.863,28.44,0,1,8,78,2018,975000,2018,2,5,11.67,2.57,4.95,1
4,1045481.863,43.09,1,1,8,78,2017,750000,2017,5,5,11.67,2.57,4.95,1
4,460293.0196,32.4,0,1,19,140,2016,485000,2016,2,5,9.99,2.85,4.06,1
4,460293.0196,31.06,1,1,19,140,2017,460000,2017,2,5,9.99,2.85,4.06,1
1,460293.0196,43.23,1,2,8,82,2016,567000,2016,2,5,11.18,2.77,4.46,1
4,460293.0196,29.71,1,1,28,237,2020,619000,2020,2,5,10.62,2.88,4.38,1
4,1494416.76,43.67,1,1,8,66,2018,835000,2018,2,5,11.67,2.51,4.95,1
1,1494416.76,26.19,1,2,15,111,2021,1703000,2021,4,5,12.51,2.59,5.51,1
4,460293.0196,46.83,1,1,19,137,2019,635000,2019,2,5,10.62,2.78,4.36,1
1,460293.0196,38.53,1,2,8,81,2019,635000,2019,2,5,11.18,2.82,4.46,1
1,460293.0196,49.32,1,2,6,49,2013,300000,2013,5,5,11.18,2.71,4.08,1
4,460293.0196,43.41,1,1,8,81,2017,657000,2017,2,5,10.62,2.65,4.34,1
4,460293.0196,37.89,1,2,19,140,2014,390000,2014,4,5,9.99,2.93,4.04,1
1,1045481.863,36.84,1,1,28,239,2019,620000,2019,5,5,10.15,2.91,4.1,1
4,1045481.863,41.21,1,2,30,254,2017,465000,2017,5,5,10.62,2.57,4.19,1
4,460293.0196,33.02,1,1,8,81,2015,590000,2015,2,5,10.62,2.65,4.34,1
1,1494416.76,50,1,2,9,85,2016,950000,2016,2,7,12.68,2.29,5.44,1
1,1045481.863,42.17,0,2,20,169,2018,2150000,2018,2,5,12.68,2.62,5.14,1
1,1045481.863,35.57,0,1,20,171,2018,4600000,2019,2,5,12.49,2.53,5.77,1
4,1045481.863,36.75,1,1,7,52,2016,490000,2016,2,5,10.62,2.69,4.46,1
4,1045481.863,38.66,1,1,29,244,2016,620000,2016,2,5,11.44,2.56,4.46,1
1,1045481.863,33.62,0,1,27,220,2015,1950000,2015,2,5,12.53,2.58,5.17,1
4,460293.0196,28.05,1,2,7,59,2018,594000,2018,4,5,10.62,2.65,4.46,1
4,460293.0196,40.35,1,1,8,81,2016,536000,2016,2,5,10.62,2.65,4.34,1
4,460293.0196,44.73,1,1,19,140,2015,365000,2015,5,5,9.99,2.85,4.06,1
4,460293.0196,44.59,0,2,19,149,2017,544000,2017,2,5,10.62,2.75,4.34,1
4,460293.0196,31.64,1,1,28,237,2020,566000,2020,2,5,10.62,2.88,4.38,1
4,460293.0196,40.85,1,1,8,70,2013,420000,2013,2,5,10.62,2.66,4.34,1
4,1045481.863,39.42,1,2,7,56,2017,748000,2017,2,5,11.44,2.61,4.9,1
4,1045481.863,20.77,1,1,7,52,2021,880000,2021,2,5,10.62,2.65,4.46,1
4,1045481.863,43.14,1,1,19,157,2017,616000,2018,5,5,10.62,2.77,4.34,1
4,1494416.76,36.98,1,1,15,111,2020,1554000,2020,4,5,11.32,2.42,5.2,1
4,460293.0196,27.59,0,1,21,185,2014,2100000,2014,2,5,11.69,2.68,4.61,1
1,1494416.76,38.03,0,1,0,5,2016,2175000,2016,2,5,12.53,2.51,5.59,1
4,1494416.76,38.71,0,1,0,6,2019,4300000,2019,2,5,12.57,2.25,5.84,1
4,1045481.863,40.25,1,1,30,263,2018,725000,2019,2,5,11.69,2.52,4.69,1
4,460293.0196,49.32,1,1,19,152,2010,275000,2010,5,5,10.62,2.76,4.41,1
1,1494416.76,34.76,0,1,1,19,2018,5750000,2019,2,5,12.68,2.52,5.84,1
4,1045481.863,31.18,1,1,19,157,2017,635000,2017,2,5,10.62,2.67,4.41,1
1,1045481.863,40,0,3,20,171,2013,1800000,2013,2,5,12.68,2.35,5.84,1
1,1045481.863,34.2,0,1,31,266,2015,1900000,2016,2,5,12.57,2.25,5.66,1
4,460293.0196,46.5,1,1,19,156,2017,510000,2017,2,5,10.62,2.82,4.46,1
4,460293.0196,25.85,1,1,19,156,2021,817000,2021,2,5,10.62,2.82,4.46,1
1,1494416.76,47.58,1,1,19,155,2018,850000,2019,5,5,10.77,2.87,4.46,1
4,1494416.76,48.14,1,2,6,45,2016,539000,2016,2,5,11.44,2.51,4.8,1
4,460293.0196,41.86,0,2,19,137,2017,538000,2017,4,5,10.62,2.78,4.36,1
4,460293.0196,39.94,1,1,19,134,2012,235000,2012,2,5,9.38,2.7,3.59,1
4,460293.0196,35.63,1,1,8,81,2018,666000,2018,2,5,10.62,2.65,4.34,1
1,460293.0196,48.02,1,2,6,49,2010,210000,2010,2,5,11.18,2.71,4.08,1
4,460293.0196,36.62,1,2,19,160,2016,413000,2016,4,5,9.99,2.74,4.06,1
4,1045481.863,45.93,1,1,19,157,2016,505000,2016,2,5,10.62,2.82,4.46,1
4,460293.0196,40.13,1,2,8,80,2009,300000,2009,2,5,10.62,2.73,4.29,1
1,1045481.863,51.17,0,1,0,3,2014,890000,2016,5,5,12.53,2.61,5.59,1
4,460293.0196,27.14,1,1,19,132,2002,140000,2002,2,4,9.38,2.53,3.36,1
4,1494416.76,24.17,0,1,26,208,2022,810000,2022,2,5,10,2.67,4.14,1
4,1494416.76,33.02,0,2,6,45,2018,725000,2018,2,5,11.44,2.46,4.95,1
4,1494416.76,21.54,0,1,27,215,2022,1755000,2023,2,5,10,2.58,4.85,1
4,1494416.76,36.84,1,1,12,97,2019,1050000,2019,5,5,11.44,2.56,4.84,1
4,1494416.76,31.07,1,1,29,252,2021,1000000,2021,5,5,11.35,2.57,4.69,1
4,1045481.863,30.72,0,1,27,218,2018,850000,2018,5,5,11.69,2.46,4.69,1
4,460293.0196,38.24,1,2,8,81,2014,508000,2015,5,5,10.62,2.65,4.34,1
1,1045481.863,48.76,1,2,7,56,2018,851000,2018,4,5,11.44,2.95,4.61,1
4,460293.0196,14.96,0,1,26,207,2022,625000,2023,2,5,10,2.81,4.06,1
4,460293.0196,45.82,0,2,7,59,2016,560000,2016,2,5,10.62,2.67,4.46,1
4,460293.0196,44.44,1,1,8,80,2014,335000,2014,2,5,10.28,2.71,4.08,1
4,460293.0196,49.18,1,1,8,81,2015,445000,2015,2,5,10.62,2.65,4.34,1
1,1494416.76,41.95,1,2,6,45,2019,830000,2019,2,5,11.44,2.84,4.63,1
4,460293.0196,33.77,1,1,19,137,2016,630000,2016,2,5,10.62,2.78,4.36,1
4,1045481.863,42.06,1,2,19,157,2016,527000,2016,2,5,10.62,2.82,4.46,1
4,1494416.76,34.2,0,1,8,66,2020,1320000,2020,5,5,11.06,2.56,5.17,1
4,460293.0196,20.8,1,1,19,156,2022,860000,2022,2,5,10.62,2.82,4.46,1
4,1494416.76,36.84,1,1,8,66,2017,766000,2017,5,5,11.67,2.48,4.95,1
4,1045481.863,34.2,1,1,19,157,2020,610000,2020,5,5,10.62,2.82,4.46,1
1,1045481.863,43.09,0,3,27,218,2015,475000,2015,5,5,11.44,2.79,4.7,1
4,460293.0196,43.44,1,2,8,70,2014,390000,2014,5,5,10.62,2.66,4.34,1
4,1045481.863,32.06,0,1,8,65,2020,680000,2020,2,5,10.62,2.72,4.34,1
4,1045481.863,29.24,1,1,8,78,2018,855000,2018,2,5,11.67,2.57,4.95,1
4,1042342.282,21.54,1,1,19,162,2022,1200000,2022,5,6,11.35,2.67,4.69,1
4,1045481.863,20.34,1,1,27,219,2022,1786000,2022,6,5,11.44,2.66,5.28,1
4,460293.0196,32.54,1,1,8,81,2016,614000,2016,2,5,10.62,2.65,4.34,1
4,1045481.863,32.36,1,1,19,157,2010,340000,2010,2,5,10.91,2.6,4.41,1
4,460293.0196,38.69,1,2,8,82,2016,558000,2016,5,5,10.62,2.58,4.34,1
4,1042342.282,35.89,1,2,26,212,2020,650000,2020,2,7,10,2.71,4.14,1
4,1045481.863,39.15,0,1,7,56,2017,950000,2017,2,5,11.44,2.64,4.92,1
4,460293.0196,36.59,1,1,19,156,2021,710000,2021,4,5,10.62,2.82,4.46,1
4,1494416.76,34.76,0,1,15,111,2019,1700000,2019,2,5,11.32,2.41,5.2,1
1,1494416.76,47.35,1,1,6,45,2016,684000,2016,2,5,11.44,2.83,4.62,1
4,460293.0196,45.02,1,1,4,35,2018,309000,2018,4,5,9.38,2.83,3.77,1
4,460293.0196,33.24,1,1,19,140,2018,500000,2018,2,5,9.99,2.79,4.06,1
4,1045481.863,20.8,0,1,1,12,2021,5500000,2021,2,5,12.6,2.48,5.84,1
4,460293.0196,36.79,1,1,26,207,2018,360000,2018,2,5,10,2.84,4.06,1
4,460293.0196,36.84,0,2,19,137,2018,660000,2018,5,5,10.62,2.78,4.36,1
4,1045481.863,39.15,1,1,30,254,2017,500000,2017,5,5,10.62,2.57,4.2,1
1,1494416.76,41.21,0,1,6,46,2017,2390000,2017,5,7,12.68,2.33,5.41,1
4,460293.0196,47.5,1,2,19,160,2014,361000,2014,5,5,9.99,2.74,4.06,1
4,460293.0196,44.95,1,1,8,70,2019,549000,2019,5,5,10.62,2.66,4.34,1
4,460293.0196,42.44,1,3,6,49,2012,210000,2012,2,5,10.61,2.5,4.12,1
4,460293.0196,38.59,1,1,19,156,2021,704000,2021,4,5,10.62,2.82,4.46,1
4,1045481.863,45.64,1,1,7,52,2019,729000,2019,2,5,10.62,2.69,4.46,1
4,1045481.863,37.27,0,1,7,56,2014,700000,2014,2,5,11.44,2.62,4.9,1
4,460293.0196,38.26,1,2,8,81,2018,619000,2018,4,5,10.62,2.65,4.34,1
4,460293.0196,33.16,1,1,8,71,2020,621000,2020,6,5,10.62,2.75,4.34,1
4,1045481.863,46.91,1,1,7,52,2020,685000,2020,6,5,10.62,2.69,4.46,1
4,1045481.863,35.72,1,1,7,56,2021,950000,2021,5,5,11.44,2.65,4.92,1
1,1494416.76,50.66,0,1,6,46,2017,1850000,2017,2,7,12.68,2.33,5.41,1
1,1494416.76,39.15,1,1,15,112,2021,1850000,2021,5,6,12.51,2.55,5.51,1
1,1045481.863,46.5,1,1,27,218,2013,410000,2013,2,5,11.69,2.74,4.7,1
4,1045481.863,34.95,1,1,30,254,2019,570000,2019,2,5,10,2.69,4.22,1
1,1045481.863,49.32,1,3,30,256,2009,226000,2009,5,5,12.38,2.47,4.72,1
4,1045481.863,31.07,0,1,8,68,2018,1350000,2018,2,5,12.6,2.45,5.31,1
4,460293.0196,47.07,1,1,8,70,2014,365000,2014,5,5,10.62,2.66,4.34,1
4,460293.0196,41.85,1,1,8,82,2018,707000,2019,2,5,10.62,2.58,4.34,1
4,460293.0196,32.48,1,1,8,73,2018,520000,2018,6,5,10.28,2.73,4.08,1
4,460293.0196,38.04,1,2,8,81,2016,602000,2016,2,5,10.62,2.65,4.34,1
1,1045481.863,33.91,0,2,8,78,2018,1050000,2018,2,5,11.65,2.8,5.02,1
1,460293.0196,47.08,1,2,8,81,2014,546000,2014,2,5,11.18,2.82,4.46,1
1,1045481.863,35.57,0,3,31,268,2019,3475000,2019,2,5,12.53,2.62,5.75,1
4,1045481.863,41.14,1,1,7,56,2020,1188000,2021,4,5,11.44,2.65,4.92,1
4,460293.0196,36.2,1,1,8,81,2016,621000,2016,2,5,10.62,2.65,4.34,1
4,460293.0196,40.62,1,1,19,156,2015,515000,2015,2,5,10.62,2.77,4.34,1
4,460293.0196,43.09,1,1,30,258,2016,600000,2016,5,5,10.62,2.53,4.2,1
4,460293.0196,30,1,1,30,258,2018,775000,2018,2,5,10,2.66,4.22,1
1,1494416.76,38.26,1,2,6,45,2016,645000,2016,2,5,11.44,2.83,4.62,1
4,1045481.863,32.2,1,1,7,52,2018,650000,2018,2,5,10.62,2.65,4.46,1
1,1045481.863,43.09,1,1,19,142,2017,700000,2017,5,5,10.77,3.04,4.46,1
4,1045481.863,44.81,1,1,8,79,2016,437000,2016,5,5,10.62,2.67,4.34,1
4,1045481.863,36.89,1,1,8,79,2015,460000,2015,5,5,10.62,2.67,4.34,1
4,1494416.76,39.39,1,3,6,45,2017,566000,2017,5,5,11.44,2.51,4.8,1
4,460293.0196,38.12,1,1,26,207,2019,403000,2019,5,5,10,2.84,4.06,1
1,1494416.76,37.33,0,1,10,87,2018,4950000,2018,2,5,12.6,2.54,5.61,1
4,460293.0196,36.49,1,1,7,59,2015,517000,2015,2,5,10.62,2.65,4.46,1
4,1045481.863,39.05,1,2,8,79,2016,449000,2016,5,5,10.62,2.67,4.34,1
4,1045481.863,58.51,1,2,7,56,2014,455000,2014,2,5,11.44,2.57,4.88,1
4,1045481.863,48.38,1,1,30,256,2014,643000,2014,4,5,11.16,2.45,4.94,1
1,1494416.76,47.38,1,2,16,124,2018,705000,2018,2,7,11.43,2.64,4.64,1
1,460293.0196,34.38,1,1,28,222,2021,889000,2021,4,5,11.44,2.87,4.46,1
1,1045481.863,41.86,0,2,19,157,2016,621000,2016,5,5,10.77,2.98,4.2,1
1,1045481.863,33.91,0,2,1,10,2011,1400000,2011,2,5,12.59,2.83,5.75,1
4,1045481.863,43.36,1,1,7,56,2014,630000,2014,2,5,11.44,2.59,4.9,1
4,1045481.863,47.74,1,1,7,56,2015,530000,2015,5,5,11.44,2.59,4.9,1
4,460293.0196,32.84,1,1,19,137,2017,678000,2017,5,5,10.62,2.76,4.34,1
1,1045481.863,46.42,1,2,26,206,2014,524000,2014,5,5,11.35,2.73,4.77,1
1,1045481.863,22.89,0,1,0,2,2014,2150000,2015,2,5,12.53,2.58,5.59,1
1,1045481.863,41.21,1,1,8,78,2011,675000,2011,2,5,11.65,2.82,5.02,1
1,1045481.863,39.44,1,1,8,79,2014,470000,2014,2,5,10.38,2.9,4.14,1
1,1045481.863,37.19,1,1,7,52,2014,530000,2014,5,5,11.44,2.95,4.62,1
4,460293.0196,40.81,1,1,8,73,2019,463000,2019,2,5,10.28,2.73,4.08,1
4,460293.0196,33.03,0,2,7,59,2019,727000,2019,6,5,10.62,2.63,4.46,1
4,1045481.863,48.61,1,1,7,56,2015,515000,2015,2,5,11.44,2.59,4.9,1
4,1045481.863,44.58,1,1,19,157,2016,547000,2016,6,5,10.62,2.82,4.46,1
1,460293.0196,46.01,1,2,19,152,2012,307000,2013,5,5,10.77,2.85,4.2,1
4,1494416.76,41.21,0,1,1,17,2019,4800000,2019,5,5,12.6,2.36,5.84,1
