fuel_type,body_type,kilometer_runned,transmission_type,number_of_owners,manufacturer,model,model_year,price,registration_year,insurance_validity,seats,engine_displacement,mileage,max_power(bhp),City
4,460293.0196,35.34,0,2,7,59,2016,537000,2016,2,5,10.62,2.67,4.46,0
4,1045481.863,42.91,0,1,27,217,2018,1790000,2018,2,5,12.16,2.47,5.63,0
4,460293.0196,40.82,1,2,28,237,2017,468000,2018,5,5,10.62,2.88,4.38,0
4,460293.0196,39.15,1,2,19,152,2014,420000,2014,5,5,10.62,2.64,4.41,0
4,460293.0196,39.15,1,2,19,152,2014,420000,2014,5,5,10.62,2.64,4.41,0
4,460293.0196,21.54,1,1,8,81,2021,920000,2021,5,5,9.99,2.71,4.91,0
4,1045481.863,36.81,1,1,7,56,2013,533000,2013,4,5,11.44,2.56,4.88,0
4,460293.0196,44.81,0,3,30,258,2013,850000,2013,5,5,10.62,2.58,4.7,0
1,1045481.863,36.58,1,2,27,218,2017,751000,2017,5,5,11.44,2.76,4.77,0
1,460293.0196,41.21,1,2,8,70,2014,388000,2014,5,5,10.38,2.88,4.12,0
4,460293.0196,40.82,1,2,8,81,2013,490000,2013,2,5,10.62,2.64,4.36,0
1,1494416.76,28.45,1,1,16,117,2016,494000,2016,4,6,10.62,2.94,4.25,0
1,460293.0196,43.62,1,2,8,81,2013,525000,2014,2,5,11.18,2.77,4.46,0
1,1494416.76,45.14,0,2,1,17,2016,2890000,2016,2,5,12.59,2.55,5.73,0
4,460293.0196,39.61,1,1,19,160,2018,550000,2018,2,5,9.99,2.74,4.06,0
3,460293.0196,41.98,1,1,8,80,2013,365000,2013,2,5,10.28,2.68,4.08,0
4,460293.0196,29.81,0,2,26,207,2016,420000,2016,2,5,10,2.89,4.06,0
1,1045481.863,43.39,0,1,31,266,2017,1895000,2017,2,5,12.53,3,5.75,0
1,1045481.863,28.84,0,2,20,171,2018,5990000,2018,2,5,12.68,2.57,5.84,0
4,1494416.76,21.54,0,1,16,128,2022,1050000,2022,5,5,10.62,2.57,4.77,0
4,1494416.76,26.21,0,1,15,112,2021,2075000,2021,2,6,11.32,2.55,5.2,0
4,460293.0196,33.68,1,1,7,54,2013,394000,2013,4,5,10.62,2.69,4.43,0
4,460293.0196,28.44,0,2,19,137,2017,725000,2017,2,5,10.62,2.69,4.34,0
4,460293.0196,36.84,1,1,19,136,2013,240000,2013,5,5,9.99,2.76,4.06,0
4,1494416.76,21.54,0,1,26,208,2022,835000,2022,5,5,10,2.67,4.14,0
4,460293.0196,26.68,1,1,8,70,2019,695000,2019,5,5,10.62,2.66,4.34,0
4,1494416.76,24.1,0,1,12,97,2020,1725000,2020,2,5,11.06,2.55,5.17,0
4,460293.0196,30.82,1,1,8,67,2014,330000,2014,2,5,9.38,2.76,3.81,0
4,1045481.863,27.14,0,1,30,263,2019,990000,2019,5,5,10.62,2.63,4.69,0
4,1045481.863,31.07,1,1,29,253,2018,750000,2018,5,5,11.44,2.58,4.73,0
1,1494416.76,31.07,1,1,15,111,2021,1750000,2021,5,5,12.51,2.59,5.51,0
4,1494416.76,19.22,0,1,8,64,2022,2083000,2022,2,6,12.6,2.42,5.39,0
4,460293.0196,35.22,1,1,8,80,2010,271000,2010,2,5,10.28,2.71,4.08,0
4,1494416.76,34.2,0,1,8,66,2018,1280000,2018,5,5,11.67,2.46,4.95,0
1,460293.0196,34.36,1,1,8,81,2012,436000,2012,4,5,11.18,2.82,4.46,0
4,1494416.76,27.14,0,1,8,77,2019,1250000,2019,5,5,9.99,2.63,4.91,0
1,1494416.76,38.84,0,1,16,129,2016,1350000,2016,5,7,12.68,2.52,5.19,0
4,1494416.76,27.14,0,1,8,77,2019,1250000,2019,5,5,9.99,2.63,4.91,0
